,o_loc,d_loc,hbw,hbo,nhb,am,md,pm,rd
223,12,15,1031.1025641,996.897435897,614.948717949,218.871794872,993.435897436,1360.25641026,647.871794872
224,12,16,2755.64102564,4342.82051282,3629.71794872,1067.05128205,3885.12820513,3115.15384615,1557.76923077
225,12,17,253.743589744,163.41025641,76.3589743589,44.3333333333,152.769230769,207.846153846,131.17948718
226,12,18,5359.23076923,7274.64102564,4924.92307693,1739.87179487,6031.43589744,4774.97435898,3163.8974359
227,12,19,10255.0769231,14988.1538462,5744.15384615,3211.12820513,11230.7179487,9562.25641025,6262.64102564
228,13,1,5857.82051282,9596.71794872,1988.17948718,1065.33333333,7220.23076923,7671.84615385,5624.46153846
229,13,2,4250.48717949,7525.71794872,6309.07692308,2401.17948718,6228.61538462,2950.61538462,1809.0
230,13,3,3891.17948718,8665.07692308,4898.12820513,2034.46153846,6433.71794872,4549.15384616,3229.12820513
231,13,4,3997.71794872,6369.46153846,3746.53846154,1843.46153846,4816.17948718,3384.41025641,2018.41025641
232,13,5,736.666666667,1380.07692308,1264.87179487,326.435897436,1287.56410256,686.358974359,374.230769231
233,13,6,1755.05128205,3223.87179487,2059.74358974,767.948717949,2625.66666667,1710.61538462,1217.84615385
234,13,7,1927.53846154,2804.74358974,2266.76923077,837.282051282,2545.61538462,1417.17948718,630.641025641
235,13,8,3481.58974359,5906.87179487,3408.46153846,1241.84615385,4671.51282051,3744.46153846,2292.25641026
236,13,9,2659.43589744,6517.35897436,5392.61538461,1960.56410256,5465.2051282,3470.35897436,2252.1025641
237,13,10,4366.51282051,7829.17948718,5197.33333333,2094.48717949,6506.58974359,5466.58974359,3589.64102564
238,13,11,2792.17948718,3961.94871795,2288.51282051,683.923076923,3460.15384615,3120.2051282,1979.15384615
239,13,12,1596.69230769,2772.71794872,1924.64102564,716.025641026,2055.87179487,1468.87179487,805.846153846
240,13,13,29060.0769231,24109.6153846,56309.5641025,39502.7948718,50008.4871795,34972.2307692,50398.3846154
241,13,14,1151.41025641,4536.6923077,2302.35897436,1015.94871795,3073.76923077,1779.35897436,1286.1025641
242,13,15,611.641025641,751.256410256,327.564102564,108.794871795,687.41025641,764.025641026,322.230769231
243,13,16,3059.53846154,4863.17948718,3055.82051282,1104.38461538,3892.69230769,3408.30769231,1983.87179487
244,13,17,385.153846154,660.820512822,510.948717949,120.641025641,534.564102565,632.923076923,329.282051282
245,13,18,2804.48717949,4612.87179487,3256.1025641,1020.61538462,3871.46153846,3147.33333333,1655.38461538
246,13,19,4800.53846154,8852.48717949,6004.76923077,2572.53846154,8160.12820513,4681.30769231,2672.15384615
247,14,1,10641.3076923,16457.3846154,1191.84615385,2691.48717949,11837.0,10249.1794872,8142.64102564
248,14,2,1520.43589744,1948.46153846,1309.33333333,823.179487179,1367.79487179,569.307692307,543.23076923
249,14,3,688.871794872,1870.35897436,1073.30769231,460.871794872,1219.92307692,719.256410256,551.641025641
250,14,4,1246.05128205,2008.82051282,1314.87179487,748.461538462,1465.69230769,772.256410256,674.153846154
251,14,5,467.743589744,610.333333333,336.333333333,203.282051282,354.487179487,159.794871795,169.512820513
252,14,6,447.256410256,725.794871795,464.743589744,294.615384616,535.205128205,321.717948718,253.794871795
253,14,7,703.230769231,997.948717949,790.256410256,382.846153846,740.58974359,363.358974359,285.820512821
254,14,8,1209.02564103,1976.8974359,1267.17948718,513.17948718,1538.56410256,1105.66666667,767.256410257
255,14,9,1451.05128205,3008.71794872,3670.66666667,1046.48717949,2754.64102564,1831.84615385,1454.82051282
256,14,10,965.282051282,1562.58974359,1144.71794872,478.051282051,1202.41025641,926.153846154,691.205128205
257,14,11,1734.97435897,1383.56410256,689.461538462,343.871794872,1001.28205128,1636.76923077,969.025641026
258,14,12,876.923076923,868.282051282,612.153846154,310.128205128,664.564102564,475.384615385,477.179487179
259,14,13,1136.76923077,4614.51282051,2005.43589744,1083.30769231,2832.56410256,1806.69230769,1395.79487179
260,14,14,10802.4102564,11219.8717949,25457.1538461,14068.8717949,19436.0,11957.3076923,18919.4102564
261,14,15,126.769230769,259.615384615,116.205128205,70.2051282051,172.769230769,163.179487179,100.923076923
262,14,16,1294.94871795,4057.61538462,1729.66666667,874.487179487,2334.30769231,1964.7948718,1888.53846154
263,14,17,259.871794872,954.794871795,325.82051282,134.871794872,558.435897436,494.282051282,362.794871795
264,14,18,899.512820513,1276.38461538,842.820512821,363.641025641,998.102564103,802.025641026,563.641025641
265,14,19,1585.43589744,2089.35897436,1074.28205128,614.743589743,1253.1025641,925.794871794,1003.38461538
266,15,1,2536.02564102,3513.51282051,1011.30769231,715.58974359,2594.97435897,2850.41025641,1992.66666667
267,15,2,1616.64102564,1890.41025641,690.743589744,882.461538461,1083.0,343.769230769,531.487179487
268,15,3,820.17948718,1628.69230769,468.615384616,476.0,1011.46153846,501.512820512,497.307692308
269,15,4,2257.94871795,3651.05128205,1427.28205128,1288.58974359,2087.71794872,1205.92307692,1467.97435898
270,15,5,700.384615384,1714.7948718,781.384615385,534.897435897,1132.0,608.025641026,505.871794872
271,15,6,715.615384616,1095.76923077,373.153846154,429.641025641,553.923076923,370.0,414.717948718
272,15,7,1196.48717949,2239.17948718,1337.20512821,823.128205128,1520.84615385,803.82051282,822.076923077
273,15,8,1398.71794872,3219.71794872,1069.97435897,932.666666667,1856.74358974,1065.35897436,954.256410257
274,15,9,444.128205128,590.666666666,436.128205128,266.487179487,539.461538461,150.384615385,185.025641026
275,15,10,1173.92307692,1325.05128205,515.256410257,572.461538462,975.384615384,711.717948718,668.179487179
276,15,11,1376.7948718,2756.41025641,945.871794872,758.025641026,1587.74358974,1260.33333333,1077.38461538
277,15,12,947.461538461,951.153846154,482.256410256,411.051282051,594.358974359,405.487179487,361.58974359
278,15,13,628.358974359,705.282051282,314.256410256,285.564102564,489.282051282,224.153846154,280.153846154
279,15,14,123.282051282,259.230769231,99.358974359,70.0,164.025641026,82.1794871794,75.1025641026
280,15,15,6221.74358974,3531.76923077,22313.6153846,22454.8461538,18804.3333333,14074.7692308,28834.3589744
281,15,16,1446.51282051,2935.0,1398.38461538,803.923076924,1914.17948718,1146.58974359,1043.76923077
282,15,17,71.8974358974,44.9487179487,7.25641025642,16.2820512821,69.6923076923,20.5384615385,12.1538461538
283,15,18,1787.79487179,5414.51282051,2914.38461539,1670.25641026,3465.02564102,1862.56410256,1470.79487179
284,15,19,1856.69230769,2083.84615385,708.794871795,820.025641026,1352.35897436,751.41025641,1180.1025641
285,16,1,10358.2051282,13729.5641026,2333.2051282,2443.61538462,10515.1538462,10777.9230769,7909.61538462
286,16,2,4090.30769231,6671.76923077,4342.41025641,2488.25641026,4203.17948718,2020.58974359,1714.74358974
287,16,3,2950.94871795,6240.35897436,4327.17948718,2091.46153846,4850.79487179,2546.46153846,2155.41025641
288,16,4,4713.66666667,8842.69230769,4291.92307692,2719.8974359,5607.28205128,3512.87179487,3422.74358974
289,16,5,1134.07692308,2242.71794872,1337.12820513,671.076923077,1466.94871795,717.17948718,679.897435897
290,16,6,1810.71794872,2585.2051282,2140.82051282,1179.02564103,2007.25641026,1078.38461538,1134.53846154
291,16,7,2672.07692308,5867.12820513,4624.30769231,1821.61538461,4154.74358974,2272.1025641,1527.87179487
292,16,8,4877.15384615,9171.0,6059.74358974,2895.71794872,7022.41025641,4526.02564103,3966.25641026
293,16,9,1715.30769231,3830.23076923,1767.53846154,1197.25641026,2397.58974359,1586.48717949,1486.12820513
294,16,10,4561.58974359,7869.12820513,4079.74358974,2373.30769231,5324.23076923,4541.53846154,3935.35897436
295,16,11,3735.51282051,4968.87179487,2355.58974359,1329.66666667,3781.17948718,3418.38461538,2797.1025641
